Date;Info;Music Pause;Link
21.03.2021;Первая игра Весенней серии (команда Елизаветы Овдеенко);Валерий Сюткин и Николай Девлет-Кильдеев;https://www.youtube.com/watch?v=mzvC4olGgdA
28.03.2021;Вторая игра Весенней серии (команда Бориса Белозёрова);Ёлка;https://www.youtube.com/watch?v=QzelnVQDuBg
04.04.2021;Третья игра Весенней серии (команда Андрея Козлова);Mgzavrebi;https://www.youtube.com/watch?v=PwERJvzo7zk
11.04.2021;Четвёртая игра Весенней серии (команда Балаша Касумова);Филипп Киркоров, Manizha;https://www.youtube.com/watch?v=fBBaKxuTuvw
18.04.2021;Финал Весенней серии (команда Балаша Касумова);Сплин;https://www.youtube.com/watch?v=h4nGemVEf1w
23.05.2021;Первая игра Летней серии (команда Дмитрия Локтикова);Мумий Тролль;https://www.youtube.com/watch?v=tMK4axMkpYc
30.05.2021;Вторая игра Летней серии (команда Алёны Повышевой);Пётр Налич;https://www.youtube.com/watch?v=SrHonT2lZk8
06.06.2021;Третья игра Летней серии (команда Виктора Сиднева);Тамара Гвердцители;https://www.youtube.com/watch?v=4rckL-_FfiE
20.06.2021;Четвёртая игра Летней серии (команда Алеся Мухина);Трио Олега Аккуратова;https://www.youtube.com/watch?v=i6iPWSVraW8
04.07.2021;Финал Летней серии (команда Алеся Мухина);Ильдар Абдразаков, Real Jam Jazz Band;https://www.youtube.com/watch?v=8CFapDTYz0o
03.10.2021;Первая игра Осенней серии (команда Елены Потаниной);Максим Леонидов;https://www.youtube.com/watch?v=cyDwypor-eQ
10.10.2021;Вторая игра Осенней серии (сборная команда Весенней серии);Ундервуд;https://www.youtube.com/watch?v=L4VhqGn6AoY
17.10.2021;Третья игра Осенней серии (сборная команда Летней серии);Хибла Герзмава;https://www.youtube.com/watch?v=pvY5EsKJDS4
24.10.2021;Четвёртая игра Осенней серии (команда Алеся Мухина);Кристина Орбакайте;https://www.youtube.com/watch?v=0MGb7MUhG7k
31.10.2021;Финал Осенней серии (команда Андрея Козлова);Александр Панайотов и Ксана Сергиенко, Павел Пиковский и Сергей Чиграков;https://www.youtube.com/watch?v=RztPR3oot60
28.11.2021;"Первая игра Зимней серии (сборная команда обладателей приза ""Хрустальный Атом"")";Burito и Лариса Долина;https://www.youtube.com/watch?v=LcTFau2bcZU
05.12.2021;Вторая игра Зимней серии (команда Алеся Мухина);Ночные Снайперы;https://www.youtube.com/watch?v=aE4FMFJ2I-I
12.12.2021;Третья игра Зимней серии (команда Балаша Касумова);NULL;NULL
19.12.2021;Четвёртая игра Зимней серии (команда Андрея Козлова);NULL;NULL
26.12.2021;Финал года;NULL;NULL
