Game;Player;Status
1;1;Игрок
1;2;Игрок
1;3;Игрок
1;4;Игрок
1;5;Игрок
1;6;Капитан
2;7;Игрок
2;8;Игрок
2;9;Игрок
2;10;Игрок
2;11;Игрок
2;12;Капитан
3;13;Игрок
3;14;Игрок
3;15;Игрок
3;16;Игрок
3;17;Игрок
3;18;Капитан
4;19;Игрок
4;20;Игрок
4;21;Игрок
4;22;Игрок
4;23;Игрок
4;24;Капитан
5;19;Игрок
5;20;Игрок
5;21;Игрок
5;22;Игрок
5;23;Игрок
5;24;Капитан
6;25;Игрок
6;26;Игрок
6;27;Игрок
6;28;Игрок
6;29;Игрок
6;30;Капитан
7;31;Игрок
7;32;Игрок
7;33;Игрок
7;34;Игрок
7;35;Игрок
7;36;Капитан
8;37;Игрок
8;38;Игрок
8;39;Игрок
8;40;Игрок
8;41;Игрок
8;42;Капитан
9;43;Игрок
9;44;Игрок
9;45;Игрок
9;46;Игрок
9;47;Игрок
9;48;Капитан
10;43;Игрок
10;44;Игрок
10;45;Игрок
10;46;Игрок
10;47;Игрок
10;48;Капитан
11;49;Игрок
11;50;Игрок
11;51;Игрок
11;52;Игрок
11;53;Игрок
11;54;Капитан
12;1;Игрок
12;5;Игрок
12;6;Капитан
12;7;Игрок
12;9;Игрок
12;12;Игрок
13;31;Игрок
13;33;Игрок
13;34;Игрок
13;37;Игрок
13;40;Игрок
13;42;Капитан
14;43;Игрок
14;44;Игрок
14;45;Игрок
14;46;Игрок
14;47;Игрок
14;48;Капитан
15;13;Игрок
15;14;Игрок
15;15;Игрок
15;16;Игрок
15;17;Игрок
15;18;Капитан
16;5;Игрок
16;9;Игрок
16;31;Игрок
16;35;Игрок
16;38;Игрок
16;41;Капитан
17;43;Игрок
17;44;Игрок
17;45;Игрок
17;46;Игрок
17;47;Игрок
17;48;Капитан
18;19;Игрок
18;20;Игрок
18;21;Игрок
18;22;Игрок
18;23;Игрок
18;24;Капитан
